year,month,day,fog,rain,snow,precipi,snowfalli,meantempi
2013,01,01,0,0,0,0.00,0.00,33
2013,01,02,0,0,0,0.00,0.00,28
2013,01,03,0,0,0,0.00,0.00,28
2013,01,04,0,0,0,0.00,0.00,34
2013,01,05,0,0,0,0.00,0.00,37
2013,01,06,0,0,0,T,T,40
2013,01,07,0,0,0,0.00,0.00,41
2013,01,08,0,0,0,0.00,0.00,42
2013,01,09,0,0,0,0.00,0.00,44
2013,01,10,0,0,0,0.00,0.00,44
2013,01,11,0,1,0,0.55,0.00,42
2013,01,12,0,1,0,0.02,0.00,45
2013,01,13,1,0,0,0.00,0.00,47
2013,01,14,1,1,0,0.09,0.00,47
2013,01,15,0,1,0,0.12,0.00,37
2013,01,16,0,1,0,0.69,T,35
2013,01,17,0,0,0,0.00,0.00,39
2013,01,18,0,0,0,0.00,0.00,30
2013,01,19,0,0,0,0.00,0.00,41
2013,01,20,0,0,0,0.00,0.00,42
2013,01,21,0,0,0,0.00,0.00,29
2013,01,22,0,0,0,T,T,20
2013,01,23,0,0,0,0.00,0.00,16
2013,01,24,0,0,0,0.00,0.00,17
2013,01,25,0,0,1,0.07,1.50,19
2013,01,26,0,0,0,0.00,0.00,21
2013,01,27,0,0,0,0.00,0.00,27
2013,01,28,0,1,1,0.22,T,33
2013,01,29,0,1,0,0.06,0.00,43
2013,01,30,1,1,0,0.04,0.00,49
2013,01,31,1,1,0,0.90,0.00,46
2013,02,01,0,0,0,0.00,0.00,28
2013,02,02,0,0,1,0.02,0.10,24
2013,02,03,0,0,1,0.02,0.30,27
2013,02,04,0,0,0,0.00,0.00,27
2013,02,05,0,0,1,0.02,0.40,30
2013,02,06,0,0,0,0.00,0.00,34
2013,02,07,0,0,0,0.00,0.00,29
2013,02,08,1,1,1,1.15,6.30,31
2013,02,09,1,0,1,0.38,0.00,27
2013,02,10,0,0,0,0.00,0.00,27
2013,02,11,1,1,0,0.49,0.00,40
2013,02,12,0,0,0,0.00,0.00,40
2013,02,13,0,0,1,0.03,T,39
2013,02,14,0,0,1,T,T,40
2013,02,15,0,0,0,0.00,0.00,46
2013,02,16,0,0,1,0.02,T,36
2013,02,17,0,0,0,0.00,0.00,25
2013,02,18,0,0,0,0.00,0.00,26
2013,02,19,0,1,0,0.15,0.00,41
2013,02,20,0,0,0,0.00,0.00,32
2013,02,21,0,0,0,0.00,0.00,29
2013,02,22,0,0,0,0.00,0.00,32
2013,02,23,0,1,0,0.26,0.00,39
2013,02,24,0,0,0,0.01,0.00,41
2013,02,25,0,0,0,0.00,0.00,39
2013,02,26,0,1,0,0.14,0.00,40
2013,02,27,0,1,0,1.56,0.00,42
2013,02,28,0,1,0,T,0.00,45
2013,03,01,0,0,0,0.00,0.00,41
2013,03,02,0,0,1,T,T,36
2013,03,03,0,0,1,T,T,35
2013,03,04,0,0,0,0.00,0.00,35
2013,03,05,0,0,0,0.00,0.00,40
2013,03,06,0,0,0,0.00,0.00,40
2013,03,07,0,0,1,0.19,T,36
2013,03,08,1,0,1,0.56,4.00,37
2013,03,09,0,0,0,0.00,0.00,45
2013,03,10,0,0,0,0.00,0.00,43
2013,03,11,0,0,0,0.00,0.00,47
2013,03,12,0,1,0,0.79,0.00,50
2013,03,13,0,0,0,0.00,0.00,45
2013,03,14,0,0,0,0.00,0.00,35
2013,03,15,0,0,0,0.00,0.00,39
2013,03,16,1,0,1,0.12,0.30,37
2013,03,17,0,0,0,0.00,0.00,34
2013,03,18,1,1,1,0.60,3.00,32
2013,03,19,0,1,0,0.36,0.00,38
2013,03,20,0,0,0,T,T,39
2013,03,21,0,0,1,T,T,35
2013,03,22,0,0,0,0.00,0.00,35
2013,03,23,0,0,0,0.00,0.00,39
2013,03,24,0,0,0,0.00,0.00,40
2013,03,25,0,1,1,0.17,T,38
2013,03,26,0,0,0,0.00,0.00,45
2013,03,27,0,0,0,0.00,0.00,45
2013,03,28,0,0,0,T,0.00,44
2013,03,29,0,0,0,0.00,0.00,48
2013,03,30,0,0,0,0.00,0.00,50
2013,03,31,0,1,0,0.08,0.00,49
2013,04,01,0,1,0,T,0.00,50
2013,04,02,0,0,0,0.00,0.00,38
2013,04,03,0,0,0,0.00,0.00,40
2013,04,04,0,0,0,0.00,0.00,43
2013,04,05,0,0,0,0.00,0.00,53
2013,04,06,0,0,0,0.00,0.00,44
2013,04,07,0,0,0,0.00,0.00,48
2013,04,08,0,0,0,0.00,0.00,62
2013,04,09,0,0,0,T,0.00,67
2013,04,10,0,1,0,0.49,0.00,65
2013,04,11,0,0,0,T,0.00,54
2013,04,12,0,1,0,0.63,0.00,44
2013,04,13,0,1,0,0.01,0.00,50
2013,04,14,0,1,0,0.00,0.00,52
2013,04,15,0,0,0,0.00,0.00,52
2013,04,16,0,0,0,0.00,0.00,55
2013,04,17,0,1,0,0.02,0.00,63
2013,04,18,0,1,0,0.01,0.00,55
2013,04,19,0,1,0,0.05,0.00,63
2013,04,20,0,1,0,0.06,0.00,52
2013,04,21,0,0,0,0.00,0.00,46
2013,04,22,0,0,0,0.00,0.00,48
2013,04,23,0,0,0,0.00,0.00,47
2013,04,24,0,0,0,0.00,0.00,57
2013,04,25,0,0,0,0.00,0.00,56
2013,04,26,0,0,0,0.00,0.00,59
2013,04,27,0,0,0,0.00,0.00,60
2013,04,28,0,0,0,0.00,0.00,60
2013,04,29,0,1,0,0.04,0.00,55
2013,04,30,0,0,0,0.00,0.00,60
2013,05,01,0,0,0,0.00,0.00,58
2013,05,02,0,0,0,0.00,0.00,61
2013,05,03,0,0,0,0.00,0.00,58
2013,05,04,0,0,0,0.00,0.00,59
2013,05,05,0,0,0,0.00,0.00,55
2013,05,06,0,0,0,0.00,0.00,58
2013,05,07,0,0,0,0.00,0.00,63
2013,05,08,1,1,0,3.02,0.00,59
2013,05,09,0,1,0,0.50,0.00,61
2013,05,10,0,0,0,0.01,0.00,69
2013,05,11,1,1,0,1.09,0.00,66
2013,05,12,0,1,0,T,0.00,61
2013,05,13,0,0,0,0.00,0.00,52
2013,05,14,0,0,0,0.00,0.00,52
2013,05,15,0,0,0,0.00,0.00,62
2013,05,16,0,0,0,0.00,0.00,71
2013,05,17,0,0,0,0.00,0.00,65
2013,05,18,0,0,0,0.01,0.00,61
2013,05,19,0,1,0,0.60,0.00,57
2013,05,20,1,0,0,0.00,0.00,69
2013,05,21,0,0,0,0.00,0.00,77
2013,05,22,0,0,0,0.00,0.00,69
2013,05,23,1,1,0,1.81,0.00,72
2013,05,24,0,1,0,0.30,0.00,55
2013,05,25,0,1,0,0.14,0.00,50
2013,05,26,0,0,0,0.00,0.00,57
2013,05,27,0,0,0,0.00,0.00,62
2013,05,28,1,1,0,0.52,0.00,62
2013,05,29,1,0,0,0.00,0.00,70
2013,05,30,0,0,0,0.00,0.00,81
2013,05,31,0,0,0,0.00,0.00,83
2013,06,01,0,0,0,0.00,0.00,82
2013,06,02,1,1,0,0.85,0.00,79
2013,06,03,1,1,0,0.87,0.00,72
2013,06,04,0,0,0,0.00,0.00,66
2013,06,05,0,0,0,0.00,0.00,66
2013,06,06,0,1,0,0.13,0.00,65
2013,06,07,1,1,0,4.16,0.00,61
2013,06,08,0,1,0,0.48,0.00,67
2013,06,09,0,0,0,0.00,0.00,72
2013,06,10,1,1,0,1.38,0.00,66
2013,06,11,0,1,0,0.09,0.00,72
2013,06,12,0,0,0,0.00,0.00,71
2013,06,13,1,1,0,1.26,0.00,62
2013,06,14,0,1,0,0.38,0.00,63
2013,06,15,0,0,0,0.00,0.00,71
2013,06,16,0,0,0,0.00,0.00,73
2013,06,17,0,1,0,0.01,0.00,77
2013,06,18,0,1,0,0.19,0.00,74
2013,06,19,0,1,0,0.01,0.00,68
2013,06,20,0,0,0,0.00,0.00,71
